type,provider,latitude,longitude,city,activated,borough_code,borough
Free,LinkNYC - Citybridge,40.684060839699995,-73.8705374096,Brooklyn,11/21/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6846250902,-73.86897452699999,Brooklyn,11/21/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6847015539,-73.86830878949999,Brooklyn,11/21/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6851309404,-73.8667773299,Brooklyn,12/20/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6764746696,-73.8971674505,Brooklyn,02/06/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.677221650199996,-73.8974635303,Brooklyn,01/05/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6769941203,-73.89835842,Brooklyn,01/22/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6770425302,-73.8992120797,Brooklyn,01/16/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6775400004,-73.9019513697,Brooklyn,01/08/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6778949796,-73.90299004970001,Brooklyn,01/16/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6778615496,-73.9043006705,Brooklyn,01/05/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.67784547,-73.9059013106,Brooklyn,01/05/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6512299704,-73.94206208,Brooklyn,07/27/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.650947490300005,-73.94554462949999,Brooklyn,10/30/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6509619998,-73.9478340004,Brooklyn,10/30/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6487330002,-73.9524139996,Brooklyn,02/28/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6486891904,-73.9559619698,Brooklyn,10/12/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6486071201,-73.95781959029999,Brooklyn,03/01/2019 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.7181870001,-73.9596884103,Brooklyn,02/01/2018 12:00:00 AM +0000,3,Brooklyn
Free,Harlem,40.814105,-73.9404430002,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8239255499,-73.90854944029999,Bronx,05/31/2018 12:00:00 AM +0000,2,Bronx
Free,Fiberless,40.6927500003,-74.0162,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6927199996,-74.01578000020001,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6887299999,-74.0173300004,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6925299998,-74.0145400001,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6902299998,-74.0146499995,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6901699999,-74.01443999989999,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6895899998,-74.0133999997,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6893400002,-74.0146699994,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6885699998,-74.0147000004,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6927399998,-74.0147700003,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6885999996,-74.0145499996,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.692310000300004,-74.0147499997,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6903200191,-74.013139996,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Fiberless,40.6904099998,-74.0176699999,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
