Project ID,Project Name,Program Group,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
68894,HP HUTCHINSON RIVER PARKWAY HDFC.HPO.FY20,Multifamily Finance Program,12/31/2019,12/31/2019,942897,1632,HUTCHINSON RIVER PARKWAY,Bronx,10461,2041530008,2045760,BX-10,13,26601,BX10,40.844284,-73.836606,40.84434,-73.836284,12/31/2019,Preservation,Yes,Non Prevailing Wage,0,0,44,0,0,0,2,12,30,0,0,0,0,0,44,0,44,44
67286,ROCKAWAY VILLAGE PHASE 1B (RITA STARK SITE),Multifamily Finance Program,12/30/2019,,986841,20-52,MOTT AVENUE,Queens,11691,4155370001,4458300,QN-14,31,103202,QN15,40.604427,-73.753203,40.60571,-73.753022,,New Construction,No,Non Prevailing Wage,24,92,114,0,0,1,19,77,102,33,0,0,0,0,231,0,231,231
67286,ROCKAWAY VILLAGE PHASE 1B (RITA STARK SITE),Multifamily Finance Program,12/30/2019,,989998,20-10,MOTT AVENUE,Queens,11691,4155370005,4297950,QN-14,31,103202,QN15,40.604334,-73.752998,40.60461,-73.75303,,New Construction,No,Non Prevailing Wage,8,34,43,0,0,0,13,22,37,13,0,0,0,0,85,0,85,85
67693,680 ST. NICHOLAS AVENUE,Multifamily Finance Program,12/30/2019,12/30/2019,28170,680,ST NICHOLAS AVENUE,Manhattan,10030,1020510054,1079811,MN-09,9,227,MN04,40.823321,-73.945088,40.82356,-73.944639,12/30/2019,Preservation,Yes,Non Prevailing Wage,49,8,2,1,0,0,11,16,32,1,0,0,0,0,60,0,60,60
67693,680 ST. NICHOLAS AVENUE,Multifamily Finance Program,12/30/2019,12/30/2019,805979,356,WEST 145 STREET,Manhattan,10039,1020510054,1079813,MN-09,9,227,MN04,40.823823,-73.944289,40.82356,-73.944639,12/30/2019,Preservation,Yes,Non Prevailing Wage,36,8,3,4,0,1,0,30,15,7,0,0,0,0,52,0,52,52
68188,WEST 141ST STREET CLUSTER.PILLARS.FY20,Multifamily Finance Program,12/30/2019,,41491,111,WEST 141 STREET,Manhattan,10030,1020100021,1060088,MN-10,9,230,MN03,40.818153,-73.938661,40.8185,-73.938939,,Preservation,No,Non Prevailing Wage,0,4,47,7,0,1,38,5,16,0,0,0,0,0,59,0,59,59
68188,WEST 141ST STREET CLUSTER.PILLARS.FY20,Multifamily Finance Program,12/30/2019,,41496,148,WEST 141 STREET,Manhattan,10030,1020090045,1060070,MN-10,9,230,MN03,40.818488,-73.939502,40.8182,-73.93942,,Preservation,No,Non Prevailing Wage,2,2,18,8,0,0,0,30,0,0,0,0,0,0,30,0,30,30
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,12/27/2019,,288856,750,ELDERT LANE,Brooklyn,11208,3042719001,3343249,BK-05,42,1208,BK82,40.671982,-73.863456,,,,Preservation,No,Non Prevailing Wage,0,25,7,0,0,0,1,0,24,7,0,0,0,0,32,0,32,32
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,12/27/2019,,288857,760,ELDERT LANE,Brooklyn,11208,3042719001,3343250,BK-05,42,1208,BK82,40.671675,-73.863381,,,,Preservation,No,Non Prevailing Wage,0,46,248,0,0,0,32,115,97,50,0,0,0,0,294,0,294,294
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,12/27/2019,,326066,675,LINCOLN AVENUE,Brooklyn,11208,3042710005,3095889,BK-05,42,1208,BK82,40.672675,-73.866436,40.67288,-73.865945,,Preservation,No,Non Prevailing Wage,3,50,265,0,0,1,35,124,107,53,0,0,0,0,319,0,319,319
