project_id,borough,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,total_units
68894,Bronx,0,0,44,0,0,0,44
67286,Queens,24,92,114,0,0,1,231
67286,Queens,8,34,43,0,0,0,85
67693,Manhattan,49,8,2,1,0,0,60
67693,Manhattan,36,8,3,4,0,1,52
68188,Manhattan,0,4,47,7,0,1,59
68188,Manhattan,2,2,18,8,0,0,30
68432,Brooklyn,0,25,7,0,0,0,32
68432,Brooklyn,0,46,248,0,0,0,294
68432,Brooklyn,3,50,265,0,0,1,319
68432,Brooklyn,2,42,250,0,0,0,294
68432,Brooklyn,1,33,260,0,0,0,294
68432,Brooklyn,0,32,261,0,0,1,294
69399,Brooklyn,0,0,0,0,3,0,9
66720,Queens,53,163,0,190,0,2,543
69397,Brooklyn,0,0,0,0,3,0,10
69398,Brooklyn,0,0,0,0,3,0,3
69398,Brooklyn,0,0,0,0,3,0,16
69398,Brooklyn,0,0,0,0,3,0,3
69355,Queens,0,0,0,201,0,1,202
69395,Brooklyn,0,0,0,0,3,0,8
69396,Brooklyn,0,0,0,0,3,0,10
69396,Brooklyn,0,0,0,0,3,0,10
51582,Bronx,56,55,96,69,0,1,277
58780,Brooklyn,104,115,55,0,0,1,275
64232,Queens,18,74,80,0,0,1,173
64232,Queens,7,27,46,0,0,0,80
66102,Bronx,1,9,21,0,0,1,32
66970,Queens,66,44,22,89,110,1,443
66970,Queens,104,67,35,138,172,1,689
67367,Queens,23,88,112,0,0,1,224
68080,Bronx,51,40,59,0,0,1,151
69339,Bronx,0,0,1,0,0,0,1
69392,Brooklyn,0,0,0,0,3,0,10
69393,Brooklyn,0,0,0,0,3,0,10
49713,Bronx,57,0,37,0,0,1,95
65563,Manhattan,1,14,2,0,0,0,17
68157,Brooklyn,0,0,0,0,83,0,302
68158,Brooklyn,0,0,76,0,32,0,108
69394,Queens,0,0,0,0,3,0,10
48996,Manhattan,0,0,10,0,0,0,10
48996,Manhattan,0,0,0,0,11,0,11
65306,Brooklyn,9,12,57,0,0,0,78
65306,Brooklyn,1,64,30,0,0,0,96
67130,Bronx,148,0,96,0,0,1,245
68210,Bronx,90,29,28,0,0,1,148
69184,Brooklyn,9,80,84,0,0,0,174
69338,Brooklyn,0,0,1,0,0,0,1
69391,Bronx,0,0,0,0,3,0,8
65582,Bronx,12,12,28,0,0,1,53
68542,Bronx,6,126,0,0,0,1,133
68267,Brooklyn,80,1,0,0,0,0,81
69390,Queens,0,0,0,0,12,0,39
69389,Brooklyn,0,0,0,0,11,0,35
68526,Brooklyn,29,3,1,2,0,0,35
68526,Brooklyn,12,2,1,0,0,0,15
68526,Brooklyn,10,0,2,1,0,0,13
68526,Brooklyn,7,3,2,0,0,1,13
69336,Staten Island,0,0,1,0,0,0,1
69337,Queens,0,0,1,0,0,0,1
69388,Brooklyn,0,0,0,0,6,0,18
69419,Brooklyn,0,0,0,0,9,0,28
69334,Bronx,0,0,1,0,0,0,1
69335,Manhattan,0,1,0,0,0,0,1
69387,Brooklyn,0,0,0,0,2,0,6
62057,Brooklyn,0,0,0,6,0,0,6
62057,Brooklyn,0,0,0,7,0,0,7
62057,Brooklyn,0,0,0,5,0,0,5
68079,Manhattan,0,7,8,0,0,0,78
69386,Brooklyn,0,0,0,0,3,0,9
69385,Brooklyn,0,0,0,0,3,0,10
61840,Manhattan,0,0,0,9,0,0,9
61840,Manhattan,0,0,0,4,0,0,4
61840,Manhattan,0,0,0,3,0,0,3
61840,Manhattan,0,0,0,3,0,0,3
61840,Manhattan,0,0,0,4,0,0,4
61840,Manhattan,0,0,0,3,0,0,3
61840,Manhattan,0,0,0,29,0,0,29
69384,Brooklyn,0,0,0,0,8,0,26
68810,Manhattan,24,19,3,0,0,1,47
69383,Brooklyn,0,0,0,0,5,0,14
69382,Brooklyn,0,0,0,0,7,0,23
63968,Manhattan,9,4,13,10,0,1,37
69309,Manhattan,0,0,1,0,0,0,1
