borough,acres,typecatego,waterfront
R,20.906999999999996,Neighborhood Park,Yes
Q,0.061,Triangle/Plaza,No
B,1.13,Playground,No
X,2.16,Neighborhood Park,No
X,1.104,Jointly Operated Playground,No
B,0.004,Triangle/Plaza,No
Q,13.543,Community Park,No
B,0.3,Playground,No
B,1.253,Jointly Operated Playground,No
B,0.809,Garden,No
M,0.09,Garden,No
X,3.306,Neighborhood Park,No
Q,0.218,Playground,No
B,0.18100000000000002,Garden,No
M,1.275,Playground,No
X,1.578,Jointly Operated Playground,No
X,38.536,Community Park,No
B,1.0,Playground,No
M,1.4509999999999998,Neighborhood Park,No
Q,0.057,Garden,No
Q,28.87,Neighborhood Park,Yes
B,0.442,Neighborhood Park,No
Q,0.7490000000000001,Jointly Operated Playground,No
X,0.375,Garden,No
R,0.08900000000000001,Triangle/Plaza,No
B,1.3259999999999998,Jointly Operated Playground,No
X,0.44,Triangle/Plaza,No
Q,0.9,Triangle/Plaza,No
M,0.385,Playground,No
B,0.532,Triangle/Plaza,No
M,0.718,Managed Sites,No
M,2.148,Neighborhood Park,No
X,19.749000000000002,Neighborhood Park,No
X,0.84,Jointly Operated Playground,No
X,0.68,Cemetery,No
R,1.25,Nature Area,No
B,0.045,Garden,No
R,7.462999999999999,Jointly Operated Playground,No
B,36.81,Recreation Field/Courts,Yes
Q,0.836,Triangle/Plaza,No
X,0.22899999999999998,Playground,No
B,0.161,Playground,No
Q,1.5290000000000001,Neighborhood Park,No
B,0.392,Recreation Field/Courts,No
Q,1.14,Undeveloped,Yes
Q,2.327,Undeveloped,No
B,0.364,Triangle/Plaza,No
Q,3.009,Neighborhood Park,No
R,5.278,Recreation Field/Courts,No
B,1.314,Neighborhood Park,No
R,2.356,Nature Area,Yes
B,0.057999999999999996,Garden,No
X,1.368,Jointly Operated Playground,No
X,21.10936646,Nature Area,Yes
M,1.048,Jointly Operated Playground,No
X,0.39,Triangle/Plaza,No
X,0.031,Strip,No
Q,1.9669999999999999,Jointly Operated Playground,No
M,0.61,Jointly Operated Playground,No
R,350.983,Parkway,No
X,2.49,Cemetery,No
X,0.38299999999999995,Playground,No
B,2.984,Community Park,No
B,1.607,Jointly Operated Playground,No
Q,0.14,Triangle/Plaza,No
B,0.005,Triangle/Plaza,No
B,0.48700000000000004,Triangle/Plaza,No
B,0.865,Playground,No
M,0.06,Garden,No
Q,1.94,Recreation Field/Courts,No
R,70.6,Undeveloped,Yes
Q,0.026000000000000002,Triangle/Plaza,No
B,0.657,Neighborhood Park,No
Q,1.295,Playground,No
B,0.114,Garden,No
X,20.866999999999997,Historic House Park,No
R,0.28,Triangle/Plaza,No
Q,1.102,Undeveloped,No
M,0.069,Garden,No
R,3.955,Neighborhood Park,No
X,6.438,Neighborhood Park,Yes
X,0.05,Garden,No
M,0.361,Triangle/Plaza,No
Q,0.35600000000000004,Playground,No
M,1.4409999999999998,Jointly Operated Playground,No
M,0.34600000000000003,Playground,No
M,0.997,Neighborhood Park,No
B,0.16399999999999998,Garden,No
M,0.95,Neighborhood Park,No
X,0.7140000000000001,Playground,No
M,0.068,Garden,No
M,0.25,Mall,No
B,0.934,Jointly Operated Playground,No
M,0.095,Triangle/Plaza,No
Q,0.1,Garden,No
B,12.66,Managed Sites,No
M,0.385,Buildings/Institutions,No
Q,101.28,Community Park,No
B,798.0,Community Park,Yes
Q,55.023,Nature Area,Yes
B,0.004,Strip,No
B,2.3,Recreation Field/Courts,No
M,15.524000000000001,Community Park,No
Q,3.596,Jointly Operated Playground,No
Q,0.005,Triangle/Plaza,No
Q,72.75,Parkway,No
X,0.9179999999999999,Neighborhood Park,No
B,1.278,Playground,No
X,2.075,Jointly Operated Playground,No
M,0.08,Garden,No
M,0.021,Garden,No
R,26.531999999999996,Neighborhood Park,No
Q,1.37,Playground,No
Q,2.0269999999999997,Playground,No
B,1.5490000000000002,Jointly Operated Playground,No
X,4.385,Neighborhood Park,No
Q,0.002,Triangle/Plaza,No
B,1.0,Jointly Operated Playground,No
B,0.195,Triangle/Plaza,No
X,0.08800000000000001,Strip,No
Q,5.3229999999999995,Nature Area,Yes
B,0.11900000000000001,Garden,No
M,1.5930000000000002,Neighborhood Park,No
B,0.057999999999999996,Garden,No
B,2.387,Neighborhood Park,No
M,0.018000000000000002,Triangle/Plaza,No
X,0.659,Playground,No
R,3.259,Buildings/Institutions,No
B,0.10400000000000001,Garden,No
Q,1.35,Jointly Operated Playground,No
X,1.341,Playground,No
B,0.6940000000000001,Jointly Operated Playground,No
Q,2.096,Jointly Operated Playground,No
B,0.08199999999999999,Garden,No
B,0.008,Strip,No
B,1.76,Playground,No
M,0.65,Mall,No
B,0.02,Triangle/Plaza,No
B,58.0,Community Park,Yes
M,0.635,Neighborhood Park,No
Q,8.09,Neighborhood Park,Yes
X,1.053,Playground,No
M,0.5760000000000001,Neighborhood Park,No
Q,2.066,Recreation Field/Courts,No
X,0.13,Triangle/Plaza,No
B,0.9179999999999999,Community Park,No
X,1.222,Playground,No
Q,0.348,Undeveloped,No
R,1.375,Jointly Operated Playground,No
Q,897.69,Flagship Park,Yes
M,0.054000000000000006,Garden,No
B,77.181,Recreation Field/Courts,Yes
B,2.372,Playground,No
B,9.339,Community Park,No
B,2.29,Playground,No
M,0.35600000000000004,Waterfront Facility,Yes
B,0.02,Mall,No
Q,4.635,Community Park,No
B,0.21899999999999997,Garden,No
B,0.847,Playground,No
Q,0.047,Triangle/Plaza,No
Q,0.11800000000000001,Triangle/Plaza,No
Q,0.703,Neighborhood Park,No
M,0.763,Neighborhood Park,No
B,21.039,Community Park,Yes
B,0.489,Parkway,No
Q,1.045,Jointly Operated Playground,No
M,3.852,Jointly Operated Playground,No
B,0.091,Garden,No
B,42.583,Community Park,Yes
B,1.361,Neighborhood Park,No
X,0.9740000000000001,Playground,No
Q,0.46399999999999997,Undeveloped,No
X,0.025,Strip,Yes
B,1.6159999999999999,Jointly Operated Playground,No
X,0.16,Garden,No
B,1.187,Jointly Operated Playground,No
Q,9.16,Neighborhood Park,No
M,0.084,Garden,No
R,0.252,Garden,Yes
B,7.819,Community Park,No
B,0.05,Garden,No
X,0.115,Garden,No
R,178.47,Nature Area,Yes
Q,0.071,Triangle/Plaza,No
B,3.214,Neighborhood Park,No
X,0.11,Triangle/Plaza,No
X,0.636,Neighborhood Park,No
X,0.977,Jointly Operated Playground,No
R,3.903,Nature Area,No
B,1.51,Playground,No
B,0.752,Playground,No
M,0.054000000000000006,Garden,No
R,9.934,Neighborhood Park,Yes
Q,0.121,Garden,No
B,1.385,Neighborhood Park,No
R,1.777,Historic House Park,No
M,4.3,Community Park,No
M,0.883,Playground,No
R,145.935,Nature Area,No
B,0.019,Triangle/Plaza,No
B,36.493,Community Park,No
Q,0.47600000000000003,Playground,No
Q,3.4,Neighborhood Park,No
X,6.6,Nature Area,No
B,1.19,Neighborhood Park,No
M,0.42,Playground,No
X,9.238,Neighborhood Park,No
Q,2.456,Jointly Operated Playground,No
B,6.3,Parkway,No
M,0.483,Playground,No
Q,1.318,Jointly Operated Playground,No
X,15.99,Community Park,No
X,0.6809999999999999,Jointly Operated Playground,No
R,0.731,Undeveloped,Yes
Q,0.316,Strip,No
B,1.1,Jointly Operated Playground,No
M,2.15,Neighborhood Park,No
Q,1.161,Playground,No
Q,100.87299999999999,Community Park,No
Q,0.659,Recreation Field/Courts,No
B,0.06,Triangle/Plaza,No
B,1.4469999999999998,Jointly Operated Playground,No
M,0.249,Garden,No
B,0.934,Playground,No
X,413.8,Flagship Park,Yes
X,0.032,Undeveloped,No
B,0.161,Garden,No
B,0.37,Recreation Field/Courts,No
M,9.603,Neighborhood Park,No
M,0.061,Garden,No
M,0.38799999999999996,Garden,No
B,0.039,Garden,No
X,15.0,Neighborhood Park,No
B,0.003,Strip,No
B,1.056,Managed Sites,No
X,0.401,Playground,No
B,0.705,Playground,No
B,8.25,Neighborhood Park,No
Q,7.671,Community Park,No
Q,1.314,Playground,No
Q,1.2,Undeveloped,No
R,5.165,Community Park,No
B,0.46,Playground,No
X,0.16,Garden,No
Q,202.64700000000002,Parkway,No
M,1.369,Playground,No
B,1.17,Managed Sites,No
M,1.34,Jointly Operated Playground,No
R,1.3519999999999999,Recreation Field/Courts,No
X,0.006,Strip,No
X,1.4,Neighborhood Park,No
M,0.171,Garden,No
X,0.426,Neighborhood Park,Yes
M,0.156,Triangle/Plaza,No
B,0.10300000000000001,Garden,No
M,0.14400000000000002,Triangle/Plaza,No
R,0.006,Strip,No
B,0.5670000000000001,Playground,No
B,0.1,Triangle/Plaza,No
B,1.32,Neighborhood Park,No
B,21.377,Community Park,Yes
Q,0.065,Triangle/Plaza,No
B,0.152,Garden,No
M,0.20800000000000002,Buildings/Institutions,No
B,1.9340000000000002,Recreation Field/Courts,No
M,3.928,Neighborhood Park,No
R,3.0239999999999996,Neighborhood Park,No
Q,0.005,Strip,No
Q,0.069,Playground,No
Q,55.22,Community Park,Yes
B,0.004,Strip,No
Q,0.9420000000000001,Jointly Operated Playground,No
X,205.31,Flagship Park,Yes
M,0.013999999999999999,Triangle/Plaza,No
X,4.231,Waterfront Facility,Yes
M,3.312,Community Park,No
X,0.442,Playground,No
R,22.881999999999998,Nature Area,No
B,1.194,Jointly Operated Playground,No
M,0.051,Garden,No
Q,5.2,Neighborhood Park,No
B,10.555,Community Park,No
M,0.11,Garden,No
M,0.038,Triangle/Plaza,No
Q,0.005,Triangle/Plaza,No
B,0.129,Garden,No
Q,0.231,Buildings/Institutions,No
B,0.057,Garden,No
X,0.11599999999999999,Garden,No
M,1.228,Jointly Operated Playground,No
Q,0.76,Mall,No
M,1.494,Strip,No
R,1.6,Neighborhood Park,No
X,1.9040000000000001,Playground,No
B,0.183,Playground,No
B,0.019,Triangle/Plaza,No
Q,0.809,Jointly Operated Playground,No
B,6.7,Community Park,No
B,1.157,Jointly Operated Playground,No
B,0.135,Playground,No
B,0.205,Triangle/Plaza,No
X,9.395,Neighborhood Park,Yes
X,0.16,Triangle/Plaza,No
Q,56.831,Community Park,No
M,0.715,Jointly Operated Playground,No
Q,3.43,Undeveloped,Yes
M,0.134,Triangle/Plaza,No
M,0.22699999999999998,Triangle/Plaza,No
B,0.591,Neighborhood Park,No
X,0.494,Garden,No
B,0.114,Garden,No
R,0.5539999999999999,Nature Area,No
B,0.032,Triangle/Plaza,No
Q,0.518,Playground,No
M,0.045,Garden,No
X,0.17,Garden,No
B,0.10400000000000001,Garden,No
M,0.20600000000000002,Playground,No
B,140.0,Mall,No
B,0.076,Triangle/Plaza,No
Q,0.354,Triangle/Plaza,No
B,0.062,Garden,No
B,1.26,Playground,No
M,0.073,Triangle/Plaza,No
X,0.21,Triangle/Plaza,No
Q,0.02,Triangle/Plaza,No
B,1.38,Recreation Field/Courts,No
R,1.58,Historic House Park,No
Q,0.878,Jointly Operated Playground,No
Q,2.5,Community Park,No
B,1.2429999999999999,Jointly Operated Playground,No
B,0.115,Garden,No
M,0.039,Triangle/Plaza,No
B,1.2590000000000001,Jointly Operated Playground,No
M,2.759,Neighborhood Park,No
Q,0.05,Triangle/Plaza,No
M,0.04,Garden,No
B,0.172,Garden,No
Q,13.75,Neighborhood Park,Yes
B,1.7109999999999999,Triangle/Plaza,No
X,1.2,Playground,No
X,0.126,Triangle/Plaza,No
R,1.065,Jointly Operated Playground,No
M,45.88,Community Park,Yes
B,0.5379999999999999,Jointly Operated Playground,No
B,0.051,Triangle/Plaza,No
X,0.759,Undeveloped,No
M,0.079,Playground,No
M,0.882,Triangle/Plaza,No
R,52.375,Nature Area,No
R,644.35,Waterfront Facility,Yes
Q,249.389,Parkway,Yes
B,0.028999999999999998,Triangle/Plaza,No
Q,0.006,Undeveloped,No
M,0.295,Triangle/Plaza,No
Q,0.099,Triangle/Plaza,No
B,2.2640000000000002,Neighborhood Park,No
M,0.67,Playground,No
B,0.155,Triangle/Plaza,Yes
X,0.284,Playground,No
B,0.11599999999999999,Garden,No
Q,0.7040000000000001,Undeveloped,Yes
X,1.6230000000000002,Jointly Operated Playground,No
Q,4.427,Community Park,No
X,0.287,Playground,No
Q,19.555999999999997,Nature Area,Yes
X,206.717,Parkway,Yes
B,0.004,Strip,No
X,0.1,Triangle/Plaza,No
Q,1.21,Jointly Operated Playground,No
Q,1.719,Jointly Operated Playground,No
M,2.443,Community Park,No
X,0.9129999999999999,Jointly Operated Playground,No
R,0.735,Nature Area,No
B,0.955,Jointly Operated Playground,No
B,0.039,Triangle/Plaza,No
